aburujar	v	0.0002	form lumps
abusar	v	1.4592	abuse
abuso	nm	2.2152	abuse | misuse
abuso de poder	loc	0.0004	abuse of power
abyecto	adj	0.6641	abject
acá	adv	1.3245	here
acá y acullá	loc	0.3452	here and there
acá y allá	loc	0.3452	here and there
acabado	nm	0.0000	finishing
acabado al horno	loc	0.0003	baking finish
acaballado	adj	0.0003	horse like
acabamiento	nm	1.0523	death | conclusion | end
acabar	v	2.3310	complete
acabarse	v	0.5457	run out
acabose	nm	0.2124	height
acacia	nf	0.3379	acacia
academia	nf	1.3604	academy
académico	adj	0.7583	academic | academical | academician
academista	nmf	0.4238	academician
acaecimiento	nm	0.3358	occurrence
acaganeita	nf	0.0000	akaganéite
acalasia	nf	0.0364	achalasia
acalia	nf	0.0005	common marshmallow | marsh mallow | marshmallow
acalicino	adj	0.0182	acalycine
acallar	v	0.8187	silence
acampar	v	0.2561	camp
acanalar	v	0.3354	furrow
acantilado	nm	0.8919	cliff
acantilado	adj	0.9800	steep | sheer | shelving
acantonar	v	0.2096	billet
acaparar	v	0.3223	monopolize | hoard
acapnia	nf	0.0258	acapnia
Acapulco	prop	0.1910	Acapulco
Acapulco de Juárez	prop	0.1614	Acapulco
acaramelar	v	0.2093	caramelize
acariciar	v	0.8735	caress | fondle
acaricida	adj	0.0000	miticide
ácaro	nm	0.3729	mite | Acari
acarofilia	nf	0.0000	acarophily
acarrear	v	0.0006	to carry
acaso	adv	1.2176	perhaps
acatar	v	0.6174	abide by | comply with | obey
acatarrarse	v	0.1123	catch a cold
acatisia	nf	0.0000	acathisia
acaudalado	adj	0.7585	wealthy
acaudillar	v	0.0007	be in command
acceder	v	0.4210	accede
accelerando	nm	0.0000	accelerando
accesar	v	0.5773	to | access
accesible	adj	0.5978	accessible | approachable | attainable
acceso	nm	0.9281	access
accesorio	adj	0.6190	incidental | accessory
accidental	adj	0.7751	accidental
accidentalmente	adv	0.4248	accidentally
accidente	nm	1.1805	accident
accidente laboral	loc	0.0003	occupational accident
acción	nf	2.0421	share | action
accionista	n	0.4886	shareholder | stockholder
acebo	nm	0.0003	holly bush | holly
acebrado	adj	0.3950	zebra
acechador	adj	0.1945	lurker | lurking | stalker
acechante	adj	0.0000	lurking
acechar	v	0.8838	stalk | waylay
acedera	nf	0.2406	common sorrel | sorrel
acederilla	nf	0.1201	red sorrel | sheep's sorrel | birdweed | pigweed
acederón	nm	0.0004	curly dock | yellow dock | fiddle dock
acéfalo	adj	0.1523	leaderless
acefalocisto	nm	0.0258	acephalocyst
acefobia	nf	0.0129	acephobia
aceitar	v	1.2571	oil
aceite de erigeron	loc	0.0002	erigeron oil
aceite de linaza	loc	0.1387	linseed oil
aceite de madera de sándalo	loc	0.0002	sandalwood oil
aceite de oliva	loc	0.6651	olive oil
aceite de ricino	loc	0.2334	castor oil
aceite para chumaceras	loc	0.0002	journal oil
aceite para el encofrado del hormigón	loc	0.0002	concrete form oil
aceite para encofrados	loc	0.0002	form oil
aceite para fibras vegetales	loc	0.0002	batch oil
aceite para hornos	loc	0.0002	furnace oil
aceite para incubadora	loc	0.0002	incubator oil
aceite para instrumentos	loc	0.0002	instrument oil
aceituna	nf	0.9028	olive
aceitunado	adj	1.2700	olive
aceitunero	nm	0.0003	olive picker | olive seller
aceituno	nm	0.0010	olive-tree
aceleración	nf	0.9924	acceleration | speeding up
acelerado	adj	0.0995	buzzed | squiffy | tipsy
acelerador	nm	0.0482	gas pedal | accelerator
acelerador de partículas	nm	0.1986	particle accelerator
acelerar	v	0.8315	accelerate | speed up
acelga	nf	0.6777	chard | Swiss chard
acelomado	adj	0.0000	acelomate
acento	nm	1.9980	accent | stress
acentor	nm	0.2789	dunnock
acentor común	loc	0.2789	dunnock
acentuación	nf	0.1301	accentuation
acentuar	v	1.6884	accent | acentuate
aceña	nf	0.1294	bustle
acepción	nf	1.2466	sense | meaning
aceptabilidad	nf	0.1070	acceptability
aceptable	adj	0.4963	acceptable
aceptación	nf	0.6659	acceptance | acceptation
aceptar	v	1.6993	accept | agree | approve
acequia	nf	1.3278	channel | ditch | stream
acerado	nm	0.3914	pavement
acerbo	adj	0.9232	bitter
acerca de	loc	2.5828	about
acercamiento	nm	0.8847	approach | rapprochement
acercar	v	2.3577	approach | near | drop | give | bring close
acercarse	v	1.1758	approach | come over | go up | drop in | lean towards
acero	nm	1.0623	steel
acero al carbono	loc	0.0482	carbon steel
acero vidriado	nm	0.0002	glassed steel
acérrimo	adj	0.6001	vigorous
acertar	v	1.0622	guess
acertijo	nm	1.1261	enigma | mystery | riddle | situation puzzle
acervar	v	0.2451	collect
acervo	nm	1.3477	heritage | heap
acetábulo	nm	0.1609	acetabulum
acetal	nm	0.0576	acetal
acetaldehído	nm	0.1616	acetaldehyde
acetato	nm	0.2639	acetate
acetato férrico	loc	0.0002	ferric acetate
acetato ferroso	loc	0.0002	ferrous acetate
acetato mercúrico	loc	0.0002	mercuric acetate
acético	adj	0.1056	acetic
acetilación	nf	0.1411	acetylation
acetilar	v	0.0182	acetylate
acetilcolina	nf	0.0618	acetylcholine
acetileno	nm	0.1816	acetylene
acetilo	nm	0.0705	acetyl
acetilsalicílico	adj	0.0288	acetylsalicylic
acetona	nf	0.3606	acetone
acezar	v	0.3009	gasp
achacar	v	0.5806	reproach
achenés	adj	0.1245	Aceh
achicador	adj	0.2111	reducer
achicadura	nf	0.4059	reduction
achicar	v	0.6531	bail
achicarse	v	0.8046	to | shrink
achicharrante	adj	0.0129	scorching
achichinar	v	0.3873	scorch | singe
achicoria	nf	1.4081	chicory
achicoria común	loc	1.2838	chicory
achirlar	v	0.1498	dilute
achís		0.3110	achoo
achocar	v	0.4239	throw
achocolatado	adj	0.7426	chocolate | chocolatey | chocolaty
achogcha	nf	0.2796	lady's slipper | sparrow gourd | slipper gourd
achojcha	nf	0.2796	lady's slipper | sparrow gourd | slipper gourd
achokcha	nf	0.2796	lady's slipper | sparrow gourd | slipper gourd
achuela	nf	0.1659	adze
achujcha	nf	0.2796	lady's slipper | sparrow gourd | slipper gourd
achura	nf	0.5967	offal
achurar	v	0.4881	disembowel | gut | eviscerate
aciago	adj	1.0216	unhappy
aciano	nm	0.5376	cornflower | European centaury
acicalamiento	nm	0.3109	dressing
acicalar	v	0.4310	embellish
acicate	nm	1.0684	spur | incentive
acíclico	adj	0.1262	acyclic
acidaque	nm	0.1453	earnest money
acidez	nf	0.6519	acidity
acidificar	v	0.1262	acidify
acidímetro	nm	0.0657	acidimeter
ácido	adj	3.2190	sour | acid
ácido	nm	3.3614	acid
ácido acetilsalicílico	loc	0.1886	acetylsalicylic acid
ácido alendrónico	loc	0.0315	alendronic acid
ácido aspártico	loc	0.0854	aspartic acid
ácido cafeico	loc	0.0002	cáffeic acid
ácido caliente	loc	0.0002	hot .acid
ácido clorhídrico	loc	0.1659	hydrochloric acid
ácido desoxirribonucleico	loc	0.5372	deoxyribonucleic acid
ácido glicólico	loc	0.0446	glycolic acid
ácido ribonucleico	loc	0.3439	ribonucleic acid
acidosis	nf	0.1387	acidosis
acidular	v	0.0407	acidulate
acierto	nm	0.7386	success | skill | prudence | coincidence
ácigos	nf	0.0000	azygos
acilo	nm	0.0773	acyl
acimut	nm	0.4867	azimuth
acinesia	nf	0.0892	akinesia | akinetic
acinete	nm	0.0531	akinete
acino	nm	0.0002	acine
aclamación	nf	0.2216	acclamation
aclamado	adj	0.0407	acclaimed
aclamar	v	0.6935	acclaim
aclaración	nf	0.5452	clarification
aclarado	nm	0.3940	rinse
aclarar	v	1.0708	clarify | clar
aclimatar	v	0.0628	acclimate
aclorhidria	nf	0.0258	achlorhydria
aclorhídrico	adj	0.0129	achlorhydric
aclorófilo	adj	0.0182	achlorophyllous
acmé	n	0.2562	acme
acné	nm	0.9500	acne
acobardar	v	0.4789	daunt
acobardarse	v	0.4220	cower
acobrado	adj	0.0003	copperlike
acogedor	adj	0.8289	warm | welcoming
acoger	v	1.3969	receive | welcome | shelter
acolia	nf	0.0182	acholia
acollador	nm	0.2384	lanyard
acollonar	v	0.0000	put the wind up
acometida	nf	1.3768	attack | connection
acomodación	nf	0.6916	accommodation
acomodador	adj	0.5213	usher
acomodador	nmf	0.5213	usher
acomodarse	v	0.5516	accommodate
acompañado	adj	0.0003	accompagnied
acompañado	nm	0.2792	between
acompañamiento	nm	0.5587	accompaniment | side dish
acompañar	v	0.7971	accompany
acondicionamiento	nm	0.0705	conditioning
acondicionar	v	0.9883	prepare | arrange
acondroplasia	nf	0.0773	achondroplasia
acónito	nm	0.6632	aconite | monkshood
aconsejable	adj	0.1886	advisable
aconsejar	v	1.0092	advise
acontecer	v	1.3193	happen
acontecimiento	nm	1.1929	event
acopiar	v	0.4650	gather
acopio	nm	0.3073	gathering
acoplar	v	0.7341	couple
acorazamiento	nm	0.0129	armour
acorazar	v	0.0315	armour
acorazonado	adj	0.1502	heart-shaped
acordar	v	0.7420	agree | grant
acordarse	v	1.1336	remember
acorde	nm	0.4949	chord
acordeón	nm	0.7948	accordion
acordonar	v	0.1222	cordon off
acorralar	v	0.8315	corner | round up | corral
acortar	v	0.9818	shorten | reduce
acosar	v	1.1002	harass | harry | hound
acoso	nm	0.3279	harassment
acostar	v	0.9545	lay
acostarse	v	0.2592	go to bed | lie down
acostumbrado	adj	0.8347	usual
acostumbrar	v	0.5111	accustom
acostumbrarse	v	0.6038	get used
acotar	v	0.4283	enclose
acotiledón	adj	0.0446	acotyledon
acotiledóneo	adj	0.0682	acotyledonous
Acra	prop	0.3825	Accra
acracia	nf	0.0000	acracy
Acre	prop	0.3258	Acre | Acco
acrecentar	v	0.5244	accrue
acrecer	v	0.5112	accrue
acreción	nf	0.2185	accretion
acreditar	v	0.2124	accredit
acreedor	nmf	0.4981	creditor
acreedor	adj	0.2588	deserving
acribillar	v	0.8388	riddle | pepper | badger
acritarco	nm	0.0315	acritarch
acríticamente	adv	0.0129	acritically
acrítico	adj	0.0182	acritical
acritud	nf	0.5745	bitterness | sharpness | acridness
acroamático	adj	0.0311	acroamatic
acrobacia	nf	0.2463	acrobatics
acróbata	n	0.4266	acrobat
acrobático	adj	0.0976	acrobatic
acrocárpico	adj	0.0000	acrocarpous
acrocefalia	nf	0.0129	acrocephaly
acrocéntrico	adj	0.0258	acrocentric
